start_id,iteration,objective_value,w1,w2,w3,w7,w9,w10,w11,avg_power,t_rise_50,delay_ps,pdp
1,1,-12140.05074644072,2.63554e-05,2.41022e-11,2.41022e-11,6.35224e-16,1048.7950819114048,1098.8465210210431,1233.704282895284,587.0978716667184,619.5493972029238,810.9625338936871,664.165574629298
2,1,-12823.208704949611,4.36418e-05,2.46647e-11,2.46647e-11,1.07641e-15,1168.8087769940582,1157.226636041037,1092.3736093099978,778.0329841841994,680.4129583137355,756.5881695365875,768.1306080951899
5,1,-2011963.9131867185,5.31948e-10,1.00002e-05,1.00002e-05,5.31956e-15,1330.5454543608907,980.8055012283031,937.998839379056,718.7238326663875,714.5347245738873,603.4723683992138,649.2780461540906
8,1,-12575.706272146646,4.19323e-05,4.67103e-11,4.67103e-11,1.95867e-15,1291.9813207827897,1051.5168837701178,1167.7937090553219,657.8317119812733,583.207121447449,732.251098818613,786.7102952177585
3,1,-12203.187847463127,6.91031e-05,4.75267e-11,4.75267e-11,3.28424e-15,1104.2886290863323,1033.9532374093415,1061.398725690104,695.7359132820775,649.3856905222049,812.2456046212461,719.9570981202569
4,1,-12541.383197552852,6.58017e-05,4.31211e-11,4.31211e-11,2.83744e-15,992.8445606965232,1345.2612588918903,1103.010286223713,837.1239189785729,590.875695186125,796.7344378901598,583.052045909442
7,1,-13087.852341133515,1.41412e-05,1.73781e-11,1.73781e-11,2.45746e-16,1331.71976024443,1180.9144143967917,1326.7334311411998,628.7957525731007,647.2812372384172,616.844148885641,807.9638260871775
6,1,-12846.216485821533,7.38379e-05,2.79671e-11,2.79671e-11,2.06503e-15,1013.0206918244868,1235.3317435166277,1144.127598140906,825.8401373252208,635.4513451252117,796.3864434417811,756.1365285365318
