start_id,iteration,objective_value,w1,w2,w3,w7,w9,w10,w11,avg_power,t_rise_50,delay_ps,pdp
4,1,-12523.55085358563,4.0273e-05,3.55326e-11,3.55326e-11,1.431e-15,1230.487499863136,1117.1759238458112,1155.2580516307314,699.3255250739402,605.6965572102306,787.0276372003367,654.0823219686289
1,1,-13067.383730448026,7.20366e-05,2.70122e-11,2.70122e-11,1.94586e-15,1344.559341515764,1132.2804759424398,1043.5049191566936,664.5273992884402,798.4876434670919,690.6394220727387,843.6603137808446
3,1,-4993379.495939392,2.98073e-05,1.00001e-05,1.00001e-05,2.98078e-10,1195.6472307942192,924.6835038415257,1198.5126832575208,725.5767311000558,824.7552603494328,593.3285646874311,825.7536306655595
6,1,-12457.08520205361,3.98368e-05,3.60166e-11,3.60166e-11,1.43479e-15,1252.3016383326926,1197.0316612277122,904.1411630385593,701.0397978573868,668.9858411220506,790.0986135085834,702.1764359398193
5,1,-12544.12736182924,6.49748e-05,3.41575e-11,3.41575e-11,2.21937e-15,1256.404706679977,1325.9994991695703,1077.5214363001148,641.1012548944295,662.3504699375071,596.8715120974697,694.0534618355516
8,1,-2012844.346768079,6.49698e-10,1.00001e-05,1.00001e-05,6.49708e-15,1172.4606462148347,962.0314439046415,1064.2677114243945,666.8326434971827,845.4057019512582,819.4492128810123,849.240591681417
7,1,-3349491.8627141523,1.33696e-05,1.00002e-05,1.00002e-05,1.33698e-10,1306.3135068612662,1001.1541679711429,1056.9703456562197,838.9582610514146,842.9802632500902,587.734894386241,601.1514378997014
2,1,-12760.67956253673,4.03757e-05,3.50204e-11,3.50204e-11,1.41397e-15,1187.1462556945187,1289.0128284766506,1030.9242522780876,723.9606245786954,715.624833639683,763.8595545342694,657.2207570664604
4,2,-2063049.177438516,3.42098e-11,1.00001e-05,1.00001e-05,3.421e-16,1230.443595519136,1117.1317521578112,1155.2139959267315,699.2814564779402,605.6524202822307,786.9835000963367,-25918.171497087373
5,2,-12543.507370589241,6.49707e-05,3.41571e-11,3.41571e-11,2.21921e-15,1256.3607786639768,1325.9555867295703,1077.477330568115,641.0570821504296,662.3062636655071,596.8273236014697,694.0090249155517
6,2,-111960.00268365908,3.32315e-07,1e-11,1e-11,3.32315e-18,1252.2577035406925,1196.9877335637123,904.0970712105593,700.9956933133868,-25672.355346269953,-25550.142572783418,702.1319896478193
8,2,-30369.72345659505,1.48297e-05,2.52162e-11,2.52162e-11,3.7395e-16,9972.768464040517,961.9868710240677,1064.2233427040262,666.7884441769835,845.3613565509116,819.4047139205137,849.1956808805055
