start_id,iteration,objective_value,w1,w2,w3,w7,w9,w10,w11,avg_power,t_rise_50,delay_ps,pdp
6,1,-13082.092416083591,4.48964e-05,2.53101e-11,2.53101e-11,1.13633e-15,1137.4416819471674,1264.8559938034525,1110.1768914247352,794.5986219563536,639.9569799193989,758.3557992322545,830.5745947584332
5,1,-1438523.6552192445,2.85162e-05,1.00001e-05,1.00001e-05,2.85167e-10,1243.4895893134433,1007.5457113482175,1322.0627147991624,646.0602755641715,637.4735351579104,707.9633233005801,778.3066501387908
1,1,-12075.382201014569,7.05392e-05,4.69776e-11,4.69776e-11,3.31377e-15,1118.3338937051492,1022.8317509941179,949.1492107566357,834.4357789849074,622.8571403003477,713.4743806554027,764.7975601107232
3,1,-12756.268385664916,7.49696e-05,4.68326e-11,4.68326e-11,3.51102e-15,918.455539478486,1323.7424082925568,1158.8043078996907,801.6428779946681,615.8975717185939,699.8215733667348,847.2438840817281
8,1,-12153.68170542688,2.64168e-05,4.6043e-11,4.6043e-11,1.21631e-15,1055.27378250227,1136.122644662208,1039.3594644442308,730.9063204445245,654.0928896953358,838.9021491152052,617.821986849666
4,1,-13402.680985534553,7.33016e-05,1.96309e-11,1.96309e-11,1.43898e-15,1165.6443982005278,1309.8589732362932,1139.6598774286676,733.7533037729369,764.9729902428056,832.5137636861643,747.6746561998808
7,1,-13052.795785209926,7.12414e-05,4.78566e-11,4.78566e-11,3.40937e-15,1099.813743174969,1276.764901795508,1172.6615066037928,579.242567083522,775.718376780964,781.3882239605363,828.7230782056712
2,1,-2983731.638460303,5.94223e-05,1.00002e-05,1.00002e-05,5.94232e-10,953.084101623425,964.4918673422799,1339.2749040434016,700.6120815232374,727.540729682078,857.4231346890841,740.4212962480169
8,2,-12157.233393258879,3.96218e-05,4.60426e-11,4.60426e-11,1.82429e-15,1055.21059005427,1136.0594777342078,1039.3154325002308,730.8622745525245,654.0296389473358,838.8389032512052,617.758564589666
4,2,-13402.088671718551,7.32981e-05,1.96301e-11,1.96301e-11,1.43884e-15,1165.6007334805279,1309.8152966362932,1139.6158277086677,733.7092528649368,764.9287957628056,832.4695956941644,747.6428287118808
6,2,-13081.47420579559,4.48924e-05,2.53082e-11,2.53082e-11,1.13614e-15,1137.4126673571673,1264.8269814574526,1110.1328562687352,794.5545815203535,639.8979211393989,758.2968099722546,830.5303151824332
1,2,-12074.763302534568,7.05352e-05,4.69774e-11,4.69774e-11,3.31356e-15,1118.2899293451492,1022.7877987341179,949.1051026926358,834.3916661249074,622.8130074643477,713.4302524394027,764.7532344667233
2,2,-12431.960113974455,5.78634e-10,1.00002e-05,1.00002e-05,5.78643e-15,953.040101623425,964.4478673422799,1330.716887015405,678.1060365992375,718.5207116860782,848.821117573085,707.8612312160176
7,2,-13052.321575665927,7.12377e-05,4.78565e-11,4.78565e-11,3.40919e-15,1099.799418094969,1276.720911915508,1172.6174198357928,579.198334279522,775.716870880964,781.3441331445363,828.6788396816712
5,2,-73591.6606381928,3.8046e-07,4.99952e-11,4.99952e-11,1.90212e-17,7517.102332865444,7281.058100495908,-1821.0615712608371,3776.6665367201717,6910.982751679254,-2437.07496663142,7051.817483443369
3,2,-12755.649561064916,7.49655e-05,4.68324e-11,4.68324e-11,3.51082e-15,918.411575558486,1323.6984390925568,1158.7602254436906,801.598758534668,615.8534324585939,699.7774228427348,847.1996016017281
5,3,-73508.77783480468,3.8046e-07,4.99952e-11,4.99952e-11,1.90212e-17,7517.053932868832,7281.009700495908,-1803.4433752510322,3776.6181367066197,6910.934351685546,-2413.4937609544277,7051.769083439981
1,3,-12074.082527173769,7.05309e-05,4.69771e-11,4.69771e-11,3.31333e-15,1118.2415685491492,1022.739451006118,949.0565835802358,834.3431419789074,622.7644611027478,713.3817111114028,764.7044762583232
8,3,-12156.92416022288,3.96194e-05,4.60424e-11,4.60424e-11,1.82418e-15,1055.18858895427,1136.0374896142077,1039.2934084982307,730.8402388025245,654.0076098193358,838.8168756412052,617.736448781666
6,3,-13080.839103847591,4.48897e-05,2.53575e-11,2.53575e-11,1.13829e-15,1137.3643794031673,1264.7786971334526,1110.0679950415351,794.5061356855535,639.8658503797989,758.2811863554546,830.4650979248332
3,3,-12754.968816844115,7.49611e-05,4.68322e-11,4.68322e-11,3.51059e-15,918.3632154884859,1323.6500729725567,1158.7117346936907,801.550227370668,615.8048792725939,699.7288575083348,847.1508911157281
7,3,-13051.799924907526,7.12336e-05,4.78565e-11,4.78565e-11,3.40899e-15,1099.7836590549691,1276.672523289508,1172.5689243909928,579.149678195122,775.7152119709641,781.2956332469363,828.6301773052712
2,3,-23697.365330407112,6.12026e-07,4.84092e-11,4.84092e-11,2.96277e-17,953.1157159892839,964.5234837651387,1330.792595833864,-6325.030137700303,718.5320490369371,848.7724387885274,707.8115735395022
4,3,-13401.437176874553,7.32941e-05,1.96292e-11,1.96292e-11,1.4387e-15,1165.552701804528,1309.7672521342931,1139.5673728230677,733.6607966241369,764.8801816412056,832.4210109513643,747.6078174586809
5,4,-73418.48413352118,3.8046e-07,4.99952e-11,4.99952e-11,1.90212e-17,7517.000692872559,7280.956460495908,-1784.2509581913591,3776.5648966917124,6910.881111685014,-2387.805527387785,7051.7158434362545
3,4,-12754.220005816996,7.49562e-05,4.68319e-11,4.68319e-11,3.51034e-15,918.310019145286,1323.5968702405567,1158.6583946557307,801.496843090268,615.7514707679939,699.6754353742948,847.0973096343681
4,4,-13400.720511161913,7.32898e-05,1.96281e-11,1.96281e-11,1.43854e-15,1165.4998669609279,1309.714402915893,1139.5140726618677,733.6074949722168,764.8267063204056,832.3675676810443,747.5693040686009
6,4,-13086.87765278099,7.48123e-05,2.52558e-11,2.52558e-11,1.88944e-15,1137.3112599917672,1264.7075562482526,1110.0147114912152,794.4528475565935,639.8125996785589,758.2640576365945,830.4115787875132
2,4,-23635.858204928772,6.12025e-07,4.83739e-11,4.83739e-11,2.9606e-17,953.0915159863799,964.4992840264987,1330.768394037982,-6294.4218318338335,718.5078492198891,848.7482392437295,707.7873718660722
7,4,-13051.226100809527,7.12291e-05,4.78564e-11,4.78564e-11,3.40877e-15,1099.7663222475692,1276.619295534708,1172.5155796679128,579.0961567684819,775.7133841352841,781.2422833595763,828.5766486912312
1,4,-12073.333671531529,7.0526e-05,4.69767e-11,4.69767e-11,3.31308e-15,1118.1883714073492,1022.686268505318,949.0032126098358,834.2897651521074,622.7110601582277,713.3283159700427,764.6508419628832
8,4,-12156.60593491488,3.96194e-05,4.60424e-11,4.60424e-11,1.82417e-15,1055.1643867278701,1136.0133017868077,1039.2691813216306,730.8159984611245,653.9833759877358,838.8032075296052,617.712120642666
2,5,-23568.52649986564,6.12025e-07,4.84092e-11,4.84092e-11,2.96276e-17,953.0648937681353,964.4726620685977,1330.7417739818138,-6260.91565400115,718.4812269374903,848.7216169610645,707.7607519645662
4,5,-13399.999500442029,7.32851e-05,1.9626e-11,1.9626e-11,1.43829e-15,1165.4417483401478,1309.6901149317112,1139.4554424845476,733.5488629208488,764.7678834675256,832.3087800836923,747.5269379925409
5,5,-73320.21241779152,3.8046e-07,4.99952e-11,4.99952e-11,1.90211e-17,7516.942128876658,7280.897896495908,-1763.3640963682553,3776.506332678243,6910.822547684428,-2359.8493516065973,7051.657279435669
3,5,-12753.396335344605,7.49508e-05,4.68317e-11,4.68317e-11,3.51007e-15,918.251503167766,1323.5383469425367,1158.5997206139748,801.4381200890081,615.6927211201139,699.6166710268508,847.0383697120521
1,5,-12072.509963973682,7.05207e-05,4.69764e-11,4.69764e-11,3.31281e-15,1118.1298545513691,1022.6277677544381,948.9445044838318,834.2310509354475,622.6523190606918,713.2695809631628,764.5918442378992
7,5,-13050.594848291696,7.12242e-05,4.78563e-11,4.78563e-11,3.40852e-15,1099.7472497096892,1276.560745297248,1172.4569004725247,579.037283199178,775.7113698265041,781.1835984834803,828.5177671572231
8,5,-12151.91802230352,2.64122e-05,4.60422e-11,4.60422e-11,1.21608e-15,1055.1377652637702,1135.9866962947076,1039.2541506846906,730.7893352302445,653.9567197845358,838.7881732191051,617.6853606747061
6,5,-13083.298935903049,5.98488e-05,2.5256e-11,2.5256e-11,1.51154e-15,1137.2937366047872,1264.6900355232726,1109.9970744634552,794.4352073078135,639.8129732237088,758.2463664903745,830.4027843381132
4,6,-13399.206387830496,7.32798e-05,1.96236e-11,1.96236e-11,1.43802e-15,1165.377817535188,1309.6633934142114,1139.390949353916,733.4843676643441,764.703178393778,832.2441137910256,747.4803337627852
8,6,-12155.688196724195,3.96145e-05,4.6042e-11,4.6042e-11,1.82393e-15,1055.0957125636742,1135.9446611638116,1039.2120677948526,730.7472377872525,653.9146288421479,838.7460844435851,617.643155766774
2,6,-23494.854591618852,6.12025e-07,4.86141e-11,4.86141e-11,2.9753e-17,953.0356117646215,964.4433782326164,1330.7124922362743,-6224.255083965058,718.4519427430972,848.692333040458,707.7314700773019
3,6,-12752.49027940179,7.49448e-05,4.68314e-11,4.68314e-11,3.50977e-15,918.1871355924941,1323.4739716368167,1158.5351794901453,801.373524787622,615.6280968295479,699.5520302446624,846.9735361196066
